"Variable","N","Media","D.E.","Min","Max","C.V."
"Temperatura","50","22.2","2.587","17","26","11.654"
"pH","50","8.982","0.354","8.1","9.4","3.939"
"Oxígeno disuelto","50","6.876","2.716","0.43","12.88","39.502"
"Conductividad","50","960.82","89.705","677","1101","9.336"
"Turbiedad","50","60.41","21.018","18","95","34.792"
"Alcalinidad total","50","376.289","35.282","244.29","434.33","9.376"
"Cloruros totales","50","86.105","11.704","53.07","108.02","13.592"
"Dureza total","50","157.823","85.95","101.38","434.33","54.459"
"Fluoruros","50","0.85","0.389","0.49","3.42","45.762"
"Nitrógeno de nitratos","50","0.144","0.044","0.1","0.24","30.422"
"Nitrógeno de nitritos","50","40.75","90.473","0.01","480","222.018"
"Nitrógeno amoniacal","50","0.863","0.622","0.5","3.44","72.13"
"Nitrógeno total Kjeldahl","50","8.504","1.3","6.17","11.42","15.288"
"Sulfatos","50","10","0","10","10","0"
"SAAM","50","0.241","0.175","0.1","0.82","72.532"
"DBO Turbiedad","50","12.258","7.892","4.62","47.4","64.385"
"DQO","50","127.339","23.43","85.404","180.043","18.4"
"Grasas y aceites","50","9.57","7.437","5.14","33.77","77.708"
"Fósforo total","50","1.722","0.254","1.21","2.71","14.761"
"SST","50","60.005","18.052","25","88.57","30.083"
"Sólidos disueltos tot.","50","640.675","105.976","76.87","783.34","16.541"
"Sólidos sedimentables","50","0.1","0","0.1","0.1","0"
"Sulfuros","50","0.442","0.624","0.1","3.26","141.395"
"Aluminio","50","161.889","311.983","0.103","886","192.714"
"Arsénico","50","2048.001","2523.54","0.002","8300","123.22"
"Bario","50","454.28","460.868","0.1","990","101.45"
"Cadmio","50","11971.2","24050.005","0","66000","200.899"
"Cobre","50","0.05","0","0.05","0.05","0"
"Cromo","50","0.05","0","0.05","0.05","0"
"Fierro","50","329.762","400.705","0.09","990","121.513"
"Manganeso","50","321.027","331.36","0.05","870","103.219"
"Mercurio","50","0","0","0","0","0"
"Níquel","50","0.1","0","0.1","0.1","0"
"Plomo","50","4016.18","3455.134","0.002","9100","86.03"
"Sodio","50","140.688","14.521","86.7","162.3","10.321"
"Zinc","50","37.82","106.788","0.02","430","282.359"
"Coliformes totales","50","138684.66","677744.316","23","4600000","488.695"
"Coliformes fecales","50","106587.8","648839.878","9","4600000","608.737"
"Profundidad","0","NaN",NA,"Inf","-Inf",NA
"Temp. ambiente","50","21.7","2.493","15","26","11.488"
"Transparencia Secchi","0","NaN",NA,"Inf","-Inf",NA
"Sólidos totales","50","714.44","82.285","539","863","11.517"
"Nitrógeno total","50","8.764","1.251","6.31","11.6","14.272"
"Clorofilas","50","236.487","101.86","11.79","402.89","43.072"
"Materia flotante","0","NaN",NA,"Inf","-Inf",NA
