"Variable","N","Media","D.E.","Min","Max","C.V."
"2009","40","3.771","23.714","0.022","150","628.766"
"2010","60","56.199","136.32","0.022","870","242.567"
"2011","30","0.022","0","0.022","0.022","0"
"2012","30","10.354","39.341","0.022","160","379.965"
"2013","38","70.027","229.939","0.022","990","328.356"
"2014","50","0.069","0.146","0.022","0.618","210.811"
"2015","55","0.022","0","0.022","0.022","0"
"2016","55","23.839","123.831","0.022","680","519.439"
"2017","55","16.224","120.002","0.022","890","739.667"
"2018","55","5.283","39.102","0.01","290","740.216"
"2019","55","2.555","18.876","0.01","140","738.664"
"2020","5","0.01","0","0.01","0.01","0"
"2021","55","11.464","65.726","0.01","460","573.312"
"2022","50","40.75","90.473","0.01","480","222.018"
